review,aspect,sentiment
The camera is terrible.,camera,negative
I'm disappointed with the price.,price,negative
The performance is neither good nor bad.,performance,neutral
Excellent design and worth the price.,design,positive
Nothing special about the screen.,screen,neutral
I love the price of this product.,price,positive
I'm disappointed with the battery.,battery,negative
I'm disappointed with the price.,price,negative
Highly satisfied with the battery.,battery,positive
I'm disappointed with the price.,price,negative
"Average performance, not too bad.",performance,neutral
Worst experience with the battery.,battery,negative
Highly satisfied with the battery.,battery,positive
The camera is terrible.,camera,negative
Worst experience with the price.,price,negative
I'm disappointed with the camera.,camera,negative
I love the camera of this product.,camera,positive
The battery is amazing!,battery,positive
The screen is okay.,screen,neutral
The price is okay.,price,neutral
I love the design of this product.,design,positive
"Poor design, not expected.",design,negative
I'm disappointed with the battery.,battery,negative
The price is okay.,price,neutral
The performance is okay.,performance,neutral
The design is amazing!,design,positive
The price is amazing!,price,positive
Nothing special about the price.,price,neutral
Worst experience with the price.,price,negative
Highly satisfied with the price.,price,positive
I love the screen of this product.,screen,positive
Nothing special about the screen.,screen,neutral
I love the screen of this product.,screen,positive
Worst experience with the screen.,screen,negative
The design is amazing!,design,positive
I love the screen of this product.,screen,positive
Excellent performance and worth the price.,performance,positive
I love the camera of this product.,camera,positive
"Average design, not too bad.",design,neutral
I love the performance of this product.,performance,positive
"Poor performance, not expected.",performance,negative
Highly satisfied with the screen.,screen,positive
Nothing special about the screen.,screen,neutral
I love the camera of this product.,camera,positive
The battery is neither good nor bad.,battery,neutral
I love the camera of this product.,camera,positive
"Average price, not too bad.",price,neutral
The performance is okay.,performance,neutral
I love the price of this product.,price,positive
"Poor camera, not expected.",camera,negative
"Poor performance, not expected.",performance,negative
The price is neither good nor bad.,price,neutral
"Average performance, not too bad.",performance,neutral
I'm disappointed with the price.,price,negative
Excellent screen and worth the price.,screen,positive
The battery is amazing!,battery,positive
The performance is neither good nor bad.,performance,neutral
I love the price of this product.,price,positive
I'm disappointed with the price.,price,negative
The battery is okay.,battery,neutral
Excellent camera and worth the price.,camera,positive
"Average price, not too bad.",price,neutral
The price is okay.,price,neutral
The price is neither good nor bad.,price,neutral
Nothing special about the price.,price,neutral
The performance is neither good nor bad.,performance,neutral
The camera is terrible.,camera,negative
Excellent screen and worth the price.,screen,positive
"Average screen, not too bad.",screen,neutral
The performance is amazing!,performance,positive
I love the screen of this product.,screen,positive
The design is amazing!,design,positive
Highly satisfied with the battery.,battery,positive
Nothing special about the design.,design,neutral
"Average screen, not too bad.",screen,neutral
Nothing special about the price.,price,neutral
The screen is okay.,screen,neutral
The battery is okay.,battery,neutral
Worst experience with the design.,design,negative
"Average performance, not too bad.",performance,neutral
I love the price of this product.,price,positive
Worst experience with the battery.,battery,negative
Worst experience with the screen.,screen,negative
Highly satisfied with the price.,price,positive
Nothing special about the performance.,performance,neutral
Worst experience with the price.,price,negative
"Average design, not too bad.",design,neutral
I love the battery of this product.,battery,positive
"Poor screen, not expected.",screen,negative
Nothing special about the design.,design,neutral
"Average design, not too bad.",design,neutral
I love the battery of this product.,battery,positive
The price is neither good nor bad.,price,neutral
The camera is amazing!,camera,positive
Excellent performance and worth the price.,performance,positive
"Poor performance, not expected.",performance,negative
I'm disappointed with the design.,design,negative
The screen is okay.,screen,neutral
The design is terrible.,design,negative
The performance is amazing!,performance,positive
Highly satisfied with the screen.,screen,positive
The screen is terrible.,screen,negative
"Average design, not too bad.",design,neutral
Worst experience with the performance.,performance,negative
The performance is okay.,performance,neutral
"Average price, not too bad.",price,neutral
"Average camera, not too bad.",camera,neutral
The battery is amazing!,battery,positive
Highly satisfied with the battery.,battery,positive
Highly satisfied with the camera.,camera,positive
Worst experience with the design.,design,negative
Highly satisfied with the camera.,camera,positive
Nothing special about the price.,price,neutral
The performance is terrible.,performance,negative
Nothing special about the screen.,screen,neutral
Highly satisfied with the screen.,screen,positive
"Poor price, not expected.",price,negative
Excellent screen and worth the price.,screen,positive
The screen is amazing!,screen,positive
I love the camera of this product.,camera,positive
The design is neither good nor bad.,design,neutral
Nothing special about the performance.,performance,neutral
The camera is okay.,camera,neutral
I love the price of this product.,price,positive
The price is neither good nor bad.,price,neutral
I love the performance of this product.,performance,positive
Highly satisfied with the battery.,battery,positive
Highly satisfied with the price.,price,positive
Highly satisfied with the camera.,camera,positive
"Average design, not too bad.",design,neutral
Nothing special about the screen.,screen,neutral
"Poor battery, not expected.",battery,negative
Nothing special about the performance.,performance,neutral
"Poor performance, not expected.",performance,negative
I love the battery of this product.,battery,positive
The battery is amazing!,battery,positive
The price is terrible.,price,negative
Excellent battery and worth the price.,battery,positive
I'm disappointed with the screen.,screen,negative
The camera is terrible.,camera,negative
"Average camera, not too bad.",camera,neutral
The performance is terrible.,performance,negative
Worst experience with the battery.,battery,negative
Highly satisfied with the screen.,screen,positive
Worst experience with the design.,design,negative
"Poor camera, not expected.",camera,negative
Excellent camera and worth the price.,camera,positive
Highly satisfied with the screen.,screen,positive
"Average camera, not too bad.",camera,neutral
"Average camera, not too bad.",camera,neutral
Nothing special about the camera.,camera,neutral
Worst experience with the price.,price,negative
Highly satisfied with the camera.,camera,positive
Excellent price and worth the price.,price,positive
Worst experience with the screen.,screen,negative
"Poor design, not expected.",design,negative
Highly satisfied with the performance.,performance,positive
"Average camera, not too bad.",camera,neutral
"Poor screen, not expected.",screen,negative
"Average design, not too bad.",design,neutral
The design is amazing!,design,positive
I'm disappointed with the design.,design,negative
I'm disappointed with the battery.,battery,negative
The price is terrible.,price,negative
Highly satisfied with the performance.,performance,positive
I love the design of this product.,design,positive
Excellent battery and worth the price.,battery,positive
I'm disappointed with the performance.,performance,negative
The design is amazing!,design,positive
Worst experience with the price.,price,negative
The camera is neither good nor bad.,camera,neutral
I love the performance of this product.,performance,positive
The price is amazing!,price,positive
Nothing special about the price.,price,neutral
"Average design, not too bad.",design,neutral
The performance is okay.,performance,neutral
The battery is amazing!,battery,positive
The price is terrible.,price,negative
The design is terrible.,design,negative
The performance is amazing!,performance,positive
Excellent screen and worth the price.,screen,positive
"Poor price, not expected.",price,negative
Nothing special about the screen.,screen,neutral
"Poor design, not expected.",design,negative
Highly satisfied with the screen.,screen,positive
Worst experience with the battery.,battery,negative
Excellent battery and worth the price.,battery,positive
